Task name,Start stamp,End stamp,Duration,Number of errors,Completed,SubTask,Kod badanego,Testowany interfejs
FeedForward,12:27:04.676,12:27:26.340,21664.0664,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,12:27:33.835,12:27:54.688,20852.7097,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,12:28:02.770,12:28:31.712,28941.70020000001,1,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,12:28:39.261,12:28:43.147,3886.4269000000063,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,12:28:48.877,12:28:54.77,5199.99930000001,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,12:28:57.920,12:29:02.830,4909.612900000006,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,12:29:12.440,12:29:27.473,15033.763399999994,3,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,12:29:27.473,12:29:34.880,7406.248500000016,0,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,12:29:35.90,12:29:47.696,12605.628400000018,3,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,12:29:54.649,12:30:31.490,36841.17989999999,9,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,12:30:31.723,12:30:35.673,3950.050400000008,1,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,12:30:41.936,12:30:52.829,10893.7776,3,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
Pause,12:30:57.710,12:31:12.286,14575.706500000031,7,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,12:27:04.676,12:27:26.340,21664.0664,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,12:27:33.835,12:27:54.688,20852.7097,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,12:28:02.770,12:28:31.712,28941.70020000001,1,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,12:28:39.261,12:28:43.147,3886.4269000000063,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,12:28:48.877,12:28:54.77,5199.99930000001,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,12:28:57.920,12:29:02.830,4909.612900000006,0,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,12:29:12.440,12:29:27.473,15033.763399999994,3,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,12:29:27.473,12:29:34.880,7406.248500000016,0,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,12:29:35.90,12:29:47.696,12605.628400000018,3,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,12:29:54.649,12:30:31.490,36841.17989999999,9,True,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,12:30:31.723,12:30:35.673,3950.050400000008,1,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,12:30:41.936,12:30:52.829,10893.7776,3,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
Pause,12:30:57.710,12:31:12.286,14575.706500000031,7,False,,sub-17,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,13:23:07.2,13:23:21.820,14817.8903,0,True,,sub-17,Obszary aktywowane spojrzeniem
ReduceVolume,13:23:26.96,13:23:39.274,13178.155,0,True,,sub-17,Obszary aktywowane spojrzeniem
PauseAndResume,13:23:43.545,13:23:48.872,5327.900399999999,0,True,,sub-17,Obszary aktywowane spojrzeniem
SetVideo,13:23:52.92,13:23:58.272,6179.664799999999,0,True,,sub-17,Obszary aktywowane spojrzeniem
FeedForward,13:24:02.665,13:24:27.228,24563.72649999999,7,True,,sub-17,Obszary aktywowane spojrzeniem
Rewind,13:24:33.511,13:24:44.761,11250.3661,0,True,,sub-17,Obszary aktywowane spojrzeniem
PauseAndResume,13:24:48.610,13:24:54.300,5689.7739,0,True,,sub-17,Obszary aktywowane spojrzeniem
IncreaseVolume,13:24:59.698,13:25:11.190,11491.940599999987,0,True,,sub-17,Obszary aktywowane spojrzeniem
SetPanelAndVideo,13:25:18.670,13:25:29.515,10845.7825,0,True,,sub-17,Obszary aktywowane spojrzeniem
IncreaseVolume,13:25:34.970,13:25:43.490,8520.117399999988,0,True,,sub-17,Obszary aktywowane spojrzeniem
PauseAndResume,13:25:48.769,13:25:54.206,5436.570699999982,0,True,,sub-17,Obszary aktywowane spojrzeniem
SetPanelAndVideo,13:26:01.205,13:26:07.654,6448.528200000002,1,True,,sub-17,Obszary aktywowane spojrzeniem
FeedForward,13:26:13.257,13:26:29.665,16408.3511,1,True,,sub-17,Obszary aktywowane spojrzeniem
Pause,13:26:32.741,13:26:35.51,2309.2509000000136,1,False,,sub-17,Obszary aktywowane spojrzeniem
FeedForward,12:55:32.987,12:55:49.551,16563.6031,1,True,,sub-17,Przyciski wzrokowe
ReduceVolume,12:55:59.10,12:56:06.761,7750.5844,0,True,,sub-17,Przyciski wzrokowe
PauseAndResume,12:56:12.71,12:56:22.191,10120.5864,0,True,,sub-17,Przyciski wzrokowe
SetVideo,12:56:28.25,12:56:32.279,4254.457599999994,0,True,,sub-17,Przyciski wzrokowe
FeedForward,12:56:38.359,12:56:52.330,13971.539899999987,1,True,,sub-17,Przyciski wzrokowe
Rewind,12:56:57.540,12:57:05.684,8143.979500000001,1,True,,sub-17,Przyciski wzrokowe
PauseAndResume,12:57:10.3,12:57:35.396,25393.77450000001,1,True,,sub-17,Przyciski wzrokowe
IncreaseVolume,12:57:46.216,12:57:58.886,12669.736700000007,1,True,,sub-17,Przyciski wzrokowe
SetPanelAndVideo,12:58:06.416,12:58:16.44,9628.50020000001,0,True,,sub-17,Przyciski wzrokowe
IncreaseVolume,12:58:24.580,12:58:32.56,7476.101999999984,0,True,,sub-17,Przyciski wzrokowe
PauseAndResume,12:58:36.209,12:58:41.367,5157.617700000002,0,True,,sub-17,Przyciski wzrokowe
SetPanelAndVideo,12:58:47.757,12:58:53.584,5827.375699999976,1,True,,sub-17,Przyciski wzrokowe
FeedForward,12:58:57.912,12:59:10.715,12803.217200000016,0,True,,sub-17,Przyciski wzrokowe
Pause,12:59:14.965,12:59:18.155,3190.054199999984,1,False,,sub-17,Przyciski wzrokowe
FeedForward,17:16:36.153,17:17:26.972,50819.1703,2,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,17:17:29.154,17:19:14.0,104845.787,5,False,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,17:19:18.948,14:21:45.723,53271.9926,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,17:19:30.313,17:19:33.822,3509.0467000000067,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,17:19:37.625,17:19:41.48,3423.2442999999907,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,17:19:43.954,17:19:47.601,3646.6728999999764,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,17:19:50.990,17:19:58.649,7659.3251000000155,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,17:20:02.854,17:20:09.811,6956.615499999985,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,17:20:13.515,17:20:27.858,14343.72319999998,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,17:20:31.97,17:20:38.655,7558.083499999979,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,17:20:44.701,17:20:47.685,2984.267200000002,1,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,17:20:52.590,17:20:56.519,3929.2616999999736,1,False,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,17:20:59.943,17:21:12.928,12984.826699999976,0,True,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
Pause,17:21:15.140,17:21:16.939,1798.4211999999827,1,False,,sub-16,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,16:49:14.801,16:49:30.256,15454.512900000002,0,True,,sub-16,Obszary aktywowane spojrzeniem
PauseAndResume,16:49:33.864,16:49:43.42,9178.9375,0,True,,sub-16,Obszary aktywowane spojrzeniem
SetPanelAndVideo,16:49:51.0,16:50:02.293,11293.218999999996,1,False,,sub-16,Obszary aktywowane spojrzeniem
FeedForward,16:50:08.177,16:50:20.739,12561.287299999995,0,True,,sub-16,Obszary aktywowane spojrzeniem
Pause,16:50:24.644,16:50:28.510,3865.641300000003,1,False,,sub-16,Obszary aktywowane spojrzeniem
FeedForward,16:44:50.696,16:45:28.361,37664.7465,0,True,,sub-16,Obszary aktywowane spojrzeniem
Rewind,16:45:35.220,16:46:20.893,45673.0,1,True,,sub-16,Obszary aktywowane spojrzeniem
ReduceVolume,16:46:32.749,16:46:46.827,14078.281300000002,0,True,,sub-16,Obszary aktywowane spojrzeniem
PauseAndResume,16:46:52.97,16:46:58.193,6095.42319999999,0,True,,sub-16,Obszary aktywowane spojrzeniem
SetVideo,16:47:04.139,16:47:09.340,5201.0601000000015,0,True,,sub-16,Obszary aktywowane spojrzeniem
PauseAndResume,16:47:13.685,16:47:20.393,6708.702099999966,0,True,,sub-16,Obszary aktywowane spojrzeniem
IncreaseVolume,16:47:25.893,16:47:35.924,10031.703800000018,0,True,,sub-16,Obszary aktywowane spojrzeniem
SetPanelAndVideo,16:47:42.737,16:47:51.57,8320.020799999998,0,True,,sub-16,Obszary aktywowane spojrzeniem
FeedForward,16:48:00.20,16:48:18.331,18311.253800000006,0,True,,sub-16,Obszary aktywowane spojrzeniem
FeedForward,17:40:59.252,17:41:10.437,11184.4443,1,True,,sub-16,Przyciski wzrokowe
ReduceVolume,17:41:14.796,17:41:20.356,5559.753899999996,0,True,,sub-16,Przyciski wzrokowe
PauseAndResume,17:41:24.743,17:41:30.962,6218.597800000002,0,True,,sub-16,Przyciski wzrokowe
SetVideo,17:41:34.367,17:41:37.394,3026.8552999999956,0,True,,sub-16,Przyciski wzrokowe
FeedForward,17:41:40.410,17:41:52.412,12002.28839999999,0,True,,sub-16,Przyciski wzrokowe
PauseAndResume,17:41:58.122,17:42:05.647,7525.006299999994,0,True,,sub-16,Przyciski wzrokowe
IncreaseVolume,17:42:10.439,17:42:16.169,5730.0285999999915,0,False,,sub-16,Przyciski wzrokowe
SetPanelAndVideo,17:42:21.701,17:42:28.636,6934.914399999994,0,True,,sub-16,Przyciski wzrokowe
FeedForward,17:42:35.254,17:42:53.481,18226.877599999996,0,True,,sub-16,Przyciski wzrokowe
Rewind,17:42:56.891,17:43:03.611,6720.12049999999,1,True,,sub-16,Przyciski wzrokowe
IncreaseVolume,17:43:07.472,17:43:12.921,5448.944499999983,0,True,,sub-16,Przyciski wzrokowe
PauseAndResume,17:43:16.552,17:43:23.325,6773.193899999984,0,True,,sub-16,Przyciski wzrokowe
SetPanelAndVideo,17:43:27.554,17:43:32.616,5061.602899999998,1,True,,sub-16,Przyciski wzrokowe
Pause,17:43:36.908,17:43:40.440,3531.9027999999817,1,False,,sub-16,Przyciski wzrokowe
FeedForward,11:18:33.56,11:19:10.418,37362.549800000015,1,True,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,11:19:14.760,11:19:38.3,23242.7757,7,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,11:19:38.19,11:19:52.750,14730.719500000007,0,True,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,11:19:57.80,11:20:09.33,11953.2739,0,True,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,11:20:13.938,11:20:33.343,19404.26509999999,6,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,11:20:36.835,11:20:49.301,12465.880399999995,1,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,11:21:25.707,11:21:45.150,19442.218599999997,3,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,11:21:49.677,11:22:27.139,37462.06640000002,9,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,11:22:32.414,11:23:46.254,73839.8982,10,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,11:23:51.198,11:24:05.485,14287.689200000024,1,True,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,11:24:11.921,11:24:38.754,26832.634700000053,10,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,11:25:00.311,11:26:12.80,71769.7771,14,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,11:26:13.166,11:26:19.146,5979.321600000025,0,False,,sub-15,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,10:34:00.62,10:34:13.734,13671.6684,9,False,,sub-15,Obszary aktywowane spojrzeniem
IncreaseVolume,10:34:15.970,10:34:23.536,7565.777499999997,5,False,,sub-15,Obszary aktywowane spojrzeniem
PauseAndResume,10:34:26.695,10:34:38.952,12256.9191,0,True,,sub-15,Obszary aktywowane spojrzeniem
SetVideo,10:34:48.669,10:35:54.582,65913.4242,3,False,,sub-15,Obszary aktywowane spojrzeniem
FeedForward,10:35:59.655,10:36:22.595,22940.3915,1,True,,sub-15,Obszary aktywowane spojrzeniem
PauseAndResume,10:36:22.987,10:37:08.443,45455.41990000001,9,False,,sub-15,Obszary aktywowane spojrzeniem
IncreaseVolume,10:37:09.200,10:37:21.197,11997.451,6,False,,sub-15,Obszary aktywowane spojrzeniem
SetPanelAndVideo,10:37:28.45,10:37:51.542,23496.61540000001,7,False,,sub-15,Obszary aktywowane spojrzeniem
FeedForward,10:37:57.884,10:38:49.656,51771.16750000001,10,False,,sub-15,Obszary aktywowane spojrzeniem
Rewind,10:38:56.511,10:39:17.875,21363.9314,2,True,,sub-15,Obszary aktywowane spojrzeniem
ReduceVolume,10:39:19.498,10:39:25.90,5591.847999999997,1,False,,sub-15,Obszary aktywowane spojrzeniem
FeedForward,10:57:42.728,10:58:25.447,42719.5434,8,True,,sub-15,Przyciski wzrokowe
IncreaseVolume,10:58:33.259,10:59:04.818,31559.2861,4,True,,sub-15,Przyciski wzrokowe
PauseAndResume,10:59:09.685,10:59:44.960,35274.721000000005,20,True,,sub-15,Przyciski wzrokowe
SetVideo,11:00:05.350,11:00:34.132,28781.43150000001,0,False,,sub-15,Przyciski wzrokowe
FeedForward,11:00:39.645,11:00:51.18,11373.157399999995,2,True,,sub-15,Przyciski wzrokowe
Rewind,11:00:59.78,11:01:09.986,10907.886200000008,2,False,,sub-15,Przyciski wzrokowe
PauseAndResume,11:01:16.47,11:01:25.116,9069.007000000012,6,False,,sub-15,Przyciski wzrokowe
IncreaseVolume,11:01:32.996,11:02:36.114,63118.044,7,False,,sub-15,Przyciski wzrokowe
SetPanelAndVideo,11:02:40.855,11:02:51.15,10159.48789999995,3,False,,sub-15,Przyciski wzrokowe
ReduceVolume,11:02:53.695,11:03:06.24,12329.301800000017,5,False,,sub-15,Przyciski wzrokowe
PauseAndResume,11:03:10.204,11:03:22.874,12670.141000000005,8,False,,sub-15,Przyciski wzrokowe
SetPanelAndVideo,11:03:27.964,11:03:42.133,14168.59659999999,3,False,,sub-15,Przyciski wzrokowe
FeedForward,11:03:42.506,11:03:46.743,4236.899099999981,1,False,,sub-15,Przyciski wzrokowe
Pause,11:03:49.52,11:03:53.951,4898.527200000011,1,False,,sub-15,Przyciski wzrokowe
FeedForward,14:18:20.292,14:18:44.599,24307.379499999995,11,False,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,14:18:52.935,14:19:11.633,18697.8613,1,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,14:19:11.866,14:19:27.950,16084.122399999993,4,False,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,14:19:33.776,14:19:37.559,3783.7930000000047,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,14:19:42.939,14:19:47.171,4232.2402999999895,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,14:19:51.42,14:19:54.811,3768.911500000002,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,14:20:00.931,14:20:18.291,17359.8128,1,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,14:20:25.819,14:20:31.273,5453.489999999991,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,14:20:36.667,14:21:04.501,27833.462899999984,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,14:21:13.825,14:21:30.176,16350.95749999999,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,14:21:33.31,14:21:45.723,12692.098599999998,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,14:21:45.723,14:21:51.496,5773.429600000002,1,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,14:21:56.278,14:22:23.203,26925.520300000004,2,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
Pause,14:22:23.906,14:22:24.824,917.3684000000356,0,False,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,14:40:29.542,14:40:47.381,17838.4034,0,True,,sub-12,Obszary aktywowane spojrzeniem
ReduceVolume,14:40:53.867,14:41:05.179,11312.853600000002,0,True,,sub-12,Obszary aktywowane spojrzeniem
PauseAndResume,14:41:08.522,14:41:13.340,4817.665299999993,0,True,,sub-12,Obszary aktywowane spojrzeniem
SetVideo,14:41:16.479,14:41:20.516,4037.136100000003,0,True,,sub-12,Obszary aktywowane spojrzeniem
FeedForward,14:41:25.807,14:42:01.961,36154.335000000014,10,True,,sub-12,Obszary aktywowane spojrzeniem
Rewind,14:42:07.27,14:42:21.214,14186.876000000006,0,True,,sub-12,Obszary aktywowane spojrzeniem
PauseAndResume,14:42:26.205,14:42:30.751,4545.649999999994,0,True,,sub-12,Obszary aktywowane spojrzeniem
ReduceVolume,14:42:35.766,14:42:46.266,10500.1164,1,True,,sub-12,Obszary aktywowane spojrzeniem
